Query,Model,Chunk_1,Chunk_2,Chunk_3,Chunk_4,Chunk_5
Do any hotels have medical facilities?,rerank-v3.5,Health Check-Up](/en/hotels-and-villas/hotel-bellevue/spa-and-health/respiro/)[Fitness & Wellbeing](/en/hotels-and-villas/hotel-bellevue/spa-and-health/fitness-and-well-being/)[Hair SPA](/en/hotels-and-villas/hotel-bellevue/spa-and-health/hair-spa/)[Face Lift - Ultherapy](/en/hotels-and-villas/hotel-bellevue/spa-and-health/ultherapy/),"Alhambra Hotel, with the accompanying Villa Augusta, has provided its guests with a unique experience of complete “body and mind” relaxation for over a hundred years. You can, therefore, relax, enjoy and let the trusted staff of Alhambra take care of you",[Bellevue Spa Clinic](/en/hotels-and-villas/hotel-bellevue/spa-and-health/bellevue-spa-clinic/)[Sea-Tox Programme](/en/hotels-and-villas/hotel-bellevue/spa-and-health/sea-tox-programme/)[Secret Spa](/en/hotels-and-villas/hotel-bellevue/spa-and-health/secret-spa/)[Spa treatments](/en/hotels-and-villas/hotel-bellevue/spa-and-health/spa-treatments/)[ReSpiro Health,"Display ... All Hotels Classic Collection Luxury Collection Ultra Luxury Collection Luxury Collection Hotel Bellevue Situated in the heart of picturesque Čikat Bay, the stylish 5-star Hotel Bellevue is recognized for its outstanding world-class facilities and impeccable service. [Discover](/en/hotels-and-villas/hotel-bellevue/) Boutique Hotel Alhambra",. You can even convert the living room into a meeting room so you can fulfill your business obligations in a wonderful laid-back environment.Unwind and rejuvenate at the Wellness & Beauty area with Finnish saunas and Kneipp fitness or take advantage of the unique Spa Clinic at the nearby Bellevue hotel
Do any hotels have medical facilities?,rerank-v4.0-pro,Health Check-Up](/en/hotels-and-villas/hotel-bellevue/spa-and-health/respiro/)[Fitness & Wellbeing](/en/hotels-and-villas/hotel-bellevue/spa-and-health/fitness-and-well-being/)[Hair SPA](/en/hotels-and-villas/hotel-bellevue/spa-and-health/hair-spa/)[Face Lift - Ultherapy](/en/hotels-and-villas/hotel-bellevue/spa-and-health/ultherapy/),[Bellevue Spa Clinic](/en/hotels-and-villas/hotel-bellevue/spa-and-health/bellevue-spa-clinic/)[Sea-Tox Programme](/en/hotels-and-villas/hotel-bellevue/spa-and-health/sea-tox-programme/)[Secret Spa](/en/hotels-and-villas/hotel-bellevue/spa-and-health/secret-spa/)[Spa treatments](/en/hotels-and-villas/hotel-bellevue/spa-and-health/spa-treatments/)[ReSpiro Health,. You can even convert the living room into a meeting room so you can fulfill your business obligations in a wonderful laid-back environment.Unwind and rejuvenate at the Wellness & Beauty area with Finnish saunas and Kneipp fitness or take advantage of the unique Spa Clinic at the nearby Bellevue hotel,Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Vitality Hotel Punta Apartments Punta,[Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/) [Apartments Punta](/en/hotels-and-villas/apartments-punta/) [Diana B&B](/en/hotels-and-villas/diana-bed-and-breakfast/) [Kredo B&B](/en/hotels-and-villas/kredo-bed-and-breakfast/) [View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu
What hotels are best for summer vacations?,rerank-english-v3.0,"[Gallery](/en/hotels-and-villas/#gallery-131) Hotel Aurora Hotel Aurora rooms & suites Hotel Aurora rooms & suites Hotel Aurora Hotel Aurora Family Hotel Vespera Hotel Vespera is a paradise for parents and children of all ages, offering the best value and everything you wish and seek for an ideal, memorable family vacation. [Discover](/en/hotels-and-villas/hotel-vespera/)",[Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/) [Villa Hygeia](/en/hotels-and-villas/villa-hygeia/) [Villa Sea Princess Nika](/en/hotels-and-villas/villa-nika/) Classic Collection [Hotel Aurora](/en/hotels-and-villas/hotel-aurora/) [Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/),"Unmatched location, in the middle of a hundred-year-old pine forest a few steps away from the sea, create an almost surreal setting. Nestled right above Veli Žal beach in Sunčana (Sunny) Bay, Hotel Aurora is a top choice for leisure travel or corporate events.A spacious conference hall welcomes 350 guests",Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/) [Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/),"landscaped garden with heated outdoor seawater pool and massage area private beach with deck chairs and parasols, shower and changing areas Wellness & Beauty zone with Finnish sauna, relaxation area, Kneipp, jacuzzi and fitness room gated with 24-hour security video surveillance 24-hour chef and an International Butler Academy certified butler service on request"
What hotels are best for summer vacations?,rerank-multilingual-v3.0,"[Gallery](/en/hotels-and-villas/#gallery-131) Hotel Aurora Hotel Aurora rooms & suites Hotel Aurora rooms & suites Hotel Aurora Hotel Aurora Family Hotel Vespera Hotel Vespera is a paradise for parents and children of all ages, offering the best value and everything you wish and seek for an ideal, memorable family vacation. [Discover](/en/hotels-and-villas/hotel-vespera/)","Unmatched location, in the middle of a hundred-year-old pine forest a few steps away from the sea, create an almost surreal setting. Nestled right above Veli Žal beach in Sunčana (Sunny) Bay, Hotel Aurora is a top choice for leisure travel or corporate events.A spacious conference hall welcomes 350 guests",Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/) [Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/),". You can choose to savour your meals in the air-conditioned dining hall or take a seat on the large terrace with captivating views of the bay.Alongside the hotel, you’ll find a fitness centre and Family Aqua Fun pool complex - the perfect place for your children to revel in laughter from sunrise to sunset.",".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children"
What hotels are best for summer vacations?,rerank-v3.5,"[Gallery](/en/hotels-and-villas/#gallery-131) Hotel Aurora Hotel Aurora rooms & suites Hotel Aurora rooms & suites Hotel Aurora Hotel Aurora Family Hotel Vespera Hotel Vespera is a paradise for parents and children of all ages, offering the best value and everything you wish and seek for an ideal, memorable family vacation. [Discover](/en/hotels-and-villas/hotel-vespera/)",". If you’re looking for additional entertainment, the villa also offers a private cinema hall, a pool table, a library and a wellness area with saunas. For moments of complete leisure, you can revel in spa treatments at the nearby boutique hotel Alhambra.Villa Mirasol is rented out as a separate facility and, whenever you’d like, is available with a private chef and butler",[Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/) [Villa Hygeia](/en/hotels-and-villas/villa-hygeia/) [Villa Sea Princess Nika](/en/hotels-and-villas/villa-nika/) Classic Collection [Hotel Aurora](/en/hotels-and-villas/hotel-aurora/) [Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/),Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/) [Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/),".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children"
What hotels are best for summer vacations?,rerank-v4.0-pro,"[Gallery](/en/hotels-and-villas/#gallery-131) Hotel Aurora Hotel Aurora rooms & suites Hotel Aurora rooms & suites Hotel Aurora Hotel Aurora Family Hotel Vespera Hotel Vespera is a paradise for parents and children of all ages, offering the best value and everything you wish and seek for an ideal, memorable family vacation. [Discover](/en/hotels-and-villas/hotel-vespera/)","Unmatched location, in the middle of a hundred-year-old pine forest a few steps away from the sea, create an almost surreal setting. Nestled right above Veli Žal beach in Sunčana (Sunny) Bay, Hotel Aurora is a top choice for leisure travel or corporate events.A spacious conference hall welcomes 350 guests",". You can choose to savour your meals in the air-conditioned dining hall or take a seat on the large terrace with captivating views of the bay.Alongside the hotel, you’ll find a fitness centre and Family Aqua Fun pool complex - the perfect place for your children to revel in laughter from sunrise to sunset.",Luxury Collection [Hotel Bellevue](/en/hotels-and-villas/hotel-bellevue/) [Boutique Hotel Alhambra](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection [Villa Hortensia](/en/hotels-and-villas/villa-hortensia/) [Villa Mirasol](/en/hotels-and-villas/villa-mirasol/) [Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/),[Captain's Villa Rouge](/en/hotels-and-villas/villa-rouge/) [Villa Hygeia](/en/hotels-and-villas/villa-hygeia/) [Villa Sea Princess Nika](/en/hotels-and-villas/villa-nika/) Classic Collection [Hotel Aurora](/en/hotels-and-villas/hotel-aurora/) [Family Hotel Vespera](/en/hotels-and-villas/hotel-vespera/) [Vitality Hotel Punta](/en/hotels-and-villas/hotel-punta/)
Where can I find winter escape accommodation?,rerank-english-v3.0,".You can find everything you need at our concièrge, from organised transfers and luxury car and boat rentals to tailor-made trips and personalised experiences. We even offer a wide range of services at the Alhambra Spa zone (a seawater pool, Finnish and Turkish saunas, fitness studio, yoga, massages and beauty treatments)",".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children",[View all](/en/hotels-and-villas/hotel-bellevue/rooms-and-suites/) [Offers](/en/hotels-and-villas/hotel-bellevue/offers/) Show Submenu [New Year at Bellevue](/en/hotels-and-villas/hotel-bellevue/offers/new-year/)[Romantic Getaway](/en/hotels-and-villas/hotel-bellevue/offers/romantic-package/)[Early Booking](/en/hotels-and-villas/hotel-bellevue/offers/early-booking/),"[Discover](/en/hotels-and-villas/hotel-bellevue/) Boutique Hotel Alhambra The most luxurious hotel on the island, Boutique Hotel Alhambra is a gem for discerning guests seeking to enjoy an exclusive, quiet escape with highly personalized service. [Discover](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection Villa Hortensia","[Gallery](/en/hotels-and-villas/#gallery-170) Apartment Punta Apartment Punta Apartment Punta Apartment Punta Diana B&B Diana B&B, situated in Čikat Bay, is designed with one goal - to provide you with the perfect vacation spot whenever you want to get away from the city crowds with someone you love. [Discover](/en/hotels-and-villas/diana-bed-and-breakfast/)"
Where can I find winter escape accommodation?,rerank-multilingual-v3.0,".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children","Unmatched location, in the middle of a hundred-year-old pine forest a few steps away from the sea, create an almost surreal setting. Nestled right above Veli Žal beach in Sunčana (Sunny) Bay, Hotel Aurora is a top choice for leisure travel or corporate events.A spacious conference hall welcomes 350 guests","[Gallery](/en/hotels-and-villas/#gallery-170) Apartment Punta Apartment Punta Apartment Punta Apartment Punta Diana B&B Diana B&B, situated in Čikat Bay, is designed with one goal - to provide you with the perfect vacation spot whenever you want to get away from the city crowds with someone you love. [Discover](/en/hotels-and-villas/diana-bed-and-breakfast/)",".You can find everything you need at our concièrge, from organised transfers and luxury car and boat rentals to tailor-made trips and personalised experiences. We even offer a wide range of services at the Alhambra Spa zone (a seawater pool, Finnish and Turkish saunas, fitness studio, yoga, massages and beauty treatments)",". Self-pampering devotees will love the private spa and marble-dressed bathrooms.The suites, tranquil sanctuaries, play hide-and-seek with the morning sun, while the outdoor area layered with terraces is enough to rival its stunning view over the cove of Čikat"
Where can I find winter escape accommodation?,rerank-v3.5,".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children","[Discover](/en/hotels-and-villas/hotel-bellevue/) Boutique Hotel Alhambra The most luxurious hotel on the island, Boutique Hotel Alhambra is a gem for discerning guests seeking to enjoy an exclusive, quiet escape with highly personalized service. [Discover](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection Villa Hortensia",More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),"Unmatched location, in the middle of a hundred-year-old pine forest a few steps away from the sea, create an almost surreal setting. Nestled right above Veli Žal beach in Sunčana (Sunny) Bay, Hotel Aurora is a top choice for leisure travel or corporate events.A spacious conference hall welcomes 350 guests",[Kredo B&B](/en/hotels-and-villas/kredo-bed-and-breakfast/) [View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu [Holiday magic on Lošinj](/en/all-offers/advent-on-losinj/)[Season Special](/en/all-offers/season-special/)[Vacation Packages](/en/all-offers/packages/)[Early Booking 2026](/en/all-offers/early-booking/)[LH&V Gift Voucher](/en/all-offers/gift-voucher/)
Where can I find winter escape accommodation?,rerank-v4.0-pro,".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children","[Gallery](/en/hotels-and-villas/#gallery-170) Apartment Punta Apartment Punta Apartment Punta Apartment Punta Diana B&B Diana B&B, situated in Čikat Bay, is designed with one goal - to provide you with the perfect vacation spot whenever you want to get away from the city crowds with someone you love. [Discover](/en/hotels-and-villas/diana-bed-and-breakfast/)",More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),[Kredo B&B](/en/hotels-and-villas/kredo-bed-and-breakfast/) [View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu [Holiday magic on Lošinj](/en/all-offers/advent-on-losinj/)[Season Special](/en/all-offers/season-special/)[Vacation Packages](/en/all-offers/packages/)[Early Booking 2026](/en/all-offers/early-booking/)[LH&V Gift Voucher](/en/all-offers/gift-voucher/),"[Discover](/en/hotels-and-villas/hotel-bellevue/) Boutique Hotel Alhambra The most luxurious hotel on the island, Boutique Hotel Alhambra is a gem for discerning guests seeking to enjoy an exclusive, quiet escape with highly personalized service. [Discover](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/) Ultra Luxury Collection Villa Hortensia"
Is there all-year-round resort accommodation?,rerank-english-v3.0,"[Discover](/en/hotels-and-villas/villa-rouge/) Villa Hygeia Surrounded by beautiful gardens with Mediterranean plants, just steps from turquoise waters of the Čikat Bay, Villa Hygeia is a perfect choice for families and long-term stays all year round. [Discover](/en/hotels-and-villas/villa-hygeia/) Villa Sea Princess Nika",[View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu [Holiday magic on Lošinj](/en/all-offers/advent-on-losinj/)[Season Special](/en/all-offers/season-special/)[Vacation Packages](/en/all-offers/packages/)[Early Booking 2026](/en/all-offers/early-booking/)[LH&V Gift Voucher](/en/all-offers/gift-voucher/) [View all](/en/all-offers/) [Dining](/en/dining/) Show Submenu,[Learn more](/en/news/solo-exhibition-by-josip-konta/) Offers [Early Booking Learn more](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/offers/early-booking/) [All Offers](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/offers/) [view more](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/offers/) Highlights Top 100 Spas of the World for 2024 by Luxury Lifestyle Awards,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),[View all](/en/hotels-and-villas/hotel-aurora/rooms-and-suites/) [Offers](/en/hotels-and-villas/hotel-aurora/offers/) Show Submenu [New Year at Aurora](/en/hotels-and-villas/hotel-aurora/offers/new-year/)[Balance Retreat: Wellness & Culture](/en/hotels-and-villas/hotel-aurora/offers/package/)[Early Booking](/en/hotels-and-villas/hotel-aurora/offers/early-booking/)
Is there all-year-round resort accommodation?,rerank-multilingual-v3.0,"[Discover](/en/hotels-and-villas/villa-rouge/) Villa Hygeia Surrounded by beautiful gardens with Mediterranean plants, just steps from turquoise waters of the Čikat Bay, Villa Hygeia is a perfect choice for families and long-term stays all year round. [Discover](/en/hotels-and-villas/villa-hygeia/) Villa Sea Princess Nika","5 comfortable suites out of which 2 beautifully appointed kids' rooms, accommodating up to 10 guests expansive landscaped garden and outdoor living space spacious terraces with spectacular sea views private home cinema and wine cellar gated with 24-hour security video surveillance 24-hour chef and an International Butler Academy certified butler service on request",". Take advantage of the private beach located directly in front of the villa so you can delight in the sea and the sun.The lavish rooms are designed as an integral area with a bathroom and a terrace overlooking the sea and the bay. For cozy gatherings, there are communal rooms such as a dining room with a terrace and a spacious living room with a bar",".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children",". If you’re looking for additional entertainment, the villa also offers a private cinema hall, a pool table, a library and a wellness area with saunas. For moments of complete leisure, you can revel in spa treatments at the nearby boutique hotel Alhambra.Villa Mirasol is rented out as a separate facility and, whenever you’d like, is available with a private chef and butler"
Is there all-year-round resort accommodation?,rerank-v3.5,"[Discover](/en/hotels-and-villas/villa-rouge/) Villa Hygeia Surrounded by beautiful gardens with Mediterranean plants, just steps from turquoise waters of the Čikat Bay, Villa Hygeia is a perfect choice for families and long-term stays all year round. [Discover](/en/hotels-and-villas/villa-hygeia/) Villa Sea Princess Nika","Alhambra Hotel, with the accompanying Villa Augusta, has provided its guests with a unique experience of complete “body and mind” relaxation for over a hundred years. You can, therefore, relax, enjoy and let the trusted staff of Alhambra take care of you",More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),".Villa Mirasol features:5 suites on three floors plus an adjacent 3-bedroom apartment with a separate entrance, accommodating up to 16 guests",[View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu [Holiday magic on Lošinj](/en/all-offers/advent-on-losinj/)[Season Special](/en/all-offers/season-special/)[Vacation Packages](/en/all-offers/packages/)[Early Booking 2026](/en/all-offers/early-booking/)[LH&V Gift Voucher](/en/all-offers/gift-voucher/) [View all](/en/all-offers/) [Dining](/en/dining/) Show Submenu
Is there all-year-round resort accommodation?,rerank-v4.0-pro,"[Discover](/en/hotels-and-villas/villa-rouge/) Villa Hygeia Surrounded by beautiful gardens with Mediterranean plants, just steps from turquoise waters of the Čikat Bay, Villa Hygeia is a perfect choice for families and long-term stays all year round. [Discover](/en/hotels-and-villas/villa-hygeia/) Villa Sea Princess Nika",[View all](/en/hotels-and-villas/) [All Offers](/en/all-offers/) Show Submenu [Holiday magic on Lošinj](/en/all-offers/advent-on-losinj/)[Season Special](/en/all-offers/season-special/)[Vacation Packages](/en/all-offers/packages/)[Early Booking 2026](/en/all-offers/early-booking/)[LH&V Gift Voucher](/en/all-offers/gift-voucher/) [View all](/en/all-offers/) [Dining](/en/dining/) Show Submenu,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),[View all](/en/hotels-and-villas/hotel-aurora/rooms-and-suites/) [Offers](/en/hotels-and-villas/hotel-aurora/offers/) Show Submenu [New Year at Aurora](/en/hotels-and-villas/hotel-aurora/offers/new-year/)[Balance Retreat: Wellness & Culture](/en/hotels-and-villas/hotel-aurora/offers/package/)[Early Booking](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children"
Where can I book accommodation for group retreats?,rerank-english-v3.0,More information Less information [](https://www.losinj-hotels.com/en/pet-friendly-hotels/) Offers [New Year at Aurora Learn more](/en/hotels-and-villas/hotel-aurora/offers/new-year/) [Balance Retreat: Wellness & Culture Learn more](/en/hotels-and-villas/hotel-aurora/offers/package/) [Early Booking Learn more](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children",[View all](/en/hotels-and-villas/hotel-aurora/rooms-and-suites/) [Offers](/en/hotels-and-villas/hotel-aurora/offers/) Show Submenu [New Year at Aurora](/en/hotels-and-villas/hotel-aurora/offers/new-year/)[Balance Retreat: Wellness & Culture](/en/hotels-and-villas/hotel-aurora/offers/package/)[Early Booking](/en/hotels-and-villas/hotel-aurora/offers/early-booking/),More information Less information [](https://iprefer.com/members/signup?enrollcode=LSZHB&hotel=LSZHB) [](https://www.preferredhotels.com/iprefer/enroll?enrollcode=LSZHB&hotel=LSZHB) [](https://www.losinj-hotels.com/en/dining/michelin-tour/) [](https://www.losinj-hotels.com/en/news/losinj-hotels-and-villas-celebrates-double-win-at-2025-world-spa-awards/),[Send enquiry](/en/hotels-and-villas/villa-hygeia/send-enquiry/) [facebook](https://www.facebook.com/losinj.hotels)[instagram](https://www.instagram.com/losinjhotels/)[youtube](https://www.youtube.com/user/losinjhotels) [](/)
Where can I book accommodation for group retreats?,rerank-multilingual-v3.0,".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children",Hotel Aurora [Scroll to content](/en/hotels-and-villas/hotel-aurora/#) [Book Now](https://booking.losinj-hotels.com/premium/index.html?tot_camere=1&id_albergo=19751&dc=2371&id_gruppo=20161&dc_gruppo=5884&tot_camere=1&id_stile=14775&adulti1=2&lingua_int=eng) show information [+385 (0)51 667 200](tel:+385 (0)51 667 200) [aurora@losinj-hotels.com](mailto:aurora@losinj-hotels.com) show information,Family Hotel Vespera [Scroll to content](/en/hotels-and-villas/hotel-vespera/#) [Book Now](https://booking.losinj-hotels.com/premium/index.html?tot_camere=1&id_albergo=19752&dc=9373&id_gruppo=20161&dc_gruppo=5884&tot_camere=1&id_stile=14775&adulti1=2&lingua_int=eng) show information [+385 (0)51 667 300](tel:+385 (0)51 667 300) [vespera@losinj-hotels.com](mailto:vespera@losinj-hotels.com),[Scroll to content](/en/hotels-and-villas/hotel-alhambra-and-villa-augusta/#) [Book Now](https://booking.losinj-hotels.com/premium/index.html?tot_camere=1&id_albergo=19753&dc=7369&id_gruppo=20161&dc_gruppo=5884&tot_camere=1&id_stile=14775&adulti1=2&lingua_int=eng) show information [+385 (0)51 260 700](tel:+385 (0)51 260 700) [alhambra@losinj-hotels.com](mailto:alhambra@losinj-hotels.com),Hotel Bellevue [Scroll to content](/en/hotels-and-villas/hotel-bellevue/#) [Book Now](https://booking.losinj-hotels.com/premium/index.html?tot_camere=1&id_albergo=19754&dc=3687&id_gruppo=20161&dc_gruppo=5884&tot_camere=1&id_stile=14775&adulti1=2&lingua_int=eng) show information [+385 (0)51 679 000](tel:+385 (0)51 679 000) [bellevue@losinj-hotels.com](mailto:bellevue@losinj-hotels.com)
Where can I book accommodation for group retreats?,rerank-v3.5,".If you wish to feel at ease in a fresh and natural environment and escape into a private retreat with a loved one, Villa Hortensia is just the right choice for you. The villa is also a splendid choice for weddings, small celebrations and business meetings.Villa Hortensia features:10 suites on three floors accommodating up to 20 people with 3 extra beds for children",[View all](/en/destination/) [Contact](/en/contact/) Hotels & Villas [Scroll to content](/en/hotels-and-villas/#) Book Now Book Now Arrival Departure Persons X Adults + 1 - Children + 1 - Child [CHILD_COUNT] Choose Age 0 Years 1 Years 2 Years 3 Years 4 Years 5 Years 6 Years 7 Years 8 Years 9 Years 10 Years 11 Years Accept Sepcial Code Find room [Best Rate Guarantee](/en/best-rate-guarantee/) &,[Send enquiry](/en/hotels-and-villas/villa-hygeia/send-enquiry/) [facebook](https://www.facebook.com/losinj.hotels)[instagram](https://www.instagram.com/losinjhotels/)[youtube](https://www.youtube.com/user/losinjhotels) [](/),[vespera@losinj-hotels.com](mailto:vespera@losinj-hotels.com) [facebook](https://www.facebook.com/family.hotel.vespera/)[twitter](https://twitter.com/LosinjHotels)[instagram](https://www.instagram.com/losinjhotels/)[youtube](https://www.youtube.com/user/losinjhotels) [](/),Family Hotel Vespera [Scroll to content](/en/hotels-and-villas/hotel-vespera/#) [Book Now](https://booking.losinj-hotels.com/premium/index.html?tot_camere=1&id_albergo=19752&dc=9373&id_gruppo=20161&dc_gruppo=5884&tot_camere=1&id_stile=14775&adulti1=2&lingua_int=eng) show information [+385 (0)51 667 300](tel:+385 (0)51 667 300) [vespera@losinj-hotels.com](mailto:vespera@losinj-hotels.com)
